ip,anonymityLevel,asn,country,,latency,,port,protocols,responseTime,speed,updated_at
202.62.10.51,transparent,AS9341,ID,,259,,8080,http,N/A,5001,2022-03-18T19:14:39.528Z
103.253.113.54,transparent,AS138841,ID,,195,,8080,http,N/A,5002,2022-03-18T19:14:29.684Z
41.86.42.41,transparent,AS36958,SC,,312,,8080,http,N/A,1465,2022-03-18T19:14:19.958Z
202.56.163.110,transparent,AS45287,ID,,N/A,,8080,http,N/A,1018,2022-03-18T19:14:16.062Z
38.123.207.249,transparent,AS174,MX,,189,,999,http,N/A,2751,2022-03-18T19:14:02.920Z
212.174.242.114,transparent,AS9121,TR,,206,,8080,http,N/A,435,2022-03-18T19:13:57.850Z
36.94.161.219,transparent,AS7713,ID,,233,,8080,http,N/A,3233,2022-03-18T19:13:19.396Z
180.94.64.114,transparent,AS55330,AF,,270,,8080,http,N/A,539,2022-03-18T19:13:10.267Z
165.16.27.13,transparent,AS37284,LY,,201,,1981,http,N/A,664,2022-03-18T19:13:02.733Z
36.92.140.113,transparent,AS7713,ID,,263,,8080,http,N/A,5001,2022-03-18T19:12:52.001Z
213.135.5.141,transparent,AS12941,DE,,159,,8080,http,N/A,308,2022-03-18T19:12:44.613Z
190.2.210.139,transparent,AS262186,CO,,169,,8080,http,N/A,359,2022-03-18T19:12:36.746Z
93.188.161.84,elite,AS47583,US,,76,,80,http,N/A,5001,2022-03-18T19:12:35.691Z
103.73.75.69,transparent,AS135468,ID,,206,,8080,http,N/A,3194,2022-03-18T19:12:34.093Z
92.255.196.91,elite,AS41668,RU,,194,,8080,http,N/A,392,2022-03-18T19:12:28.483Z
189.140.186.176,transparent,AS8151,MX,,73,,999,http,N/A,5001,2022-03-18T19:12:26.224Z
51.81.80.44,elite,AS16276,US,,124,,80,http,N/A,5002,2022-03-18T19:12:21.295Z
210.245.54.97,transparent,AS18403,VN,,185,,8080,http,N/A,3181,2022-03-18T19:12:19.021Z
167.114.96.27,elite,AS16276,CA,,66,,9300,http,N/A,133,2022-03-18T19:12:13.250Z
62.138.7.104,elite,AS8972,FR,,152,,5566,http,N/A,305,2022-03-18T19:12:12.500Z
85.25.150.32,elite,AS8972,FR,,155,,5566,http,N/A,312,2022-03-18T19:12:09.922Z
61.216.185.88,elite,AS3462,TW,,140,,60808,http,N/A,271,2022-03-18T19:12:02.295Z
50.206.25.109,elite,AS7922,US,,N/A,,80,http,N/A,268,2022-03-18T19:11:57.337Z
154.236.162.41,transparent,AS36992,EG,,N/A,,1981,http,N/A,5001,2022-03-18T19:11:56.403Z
5.180.130.90,elite,AS43633,UA,,207,,80,http,N/A,5002,2022-03-18T19:11:46.688Z
94.23.77.8,elite,AS16276,PT,,N/A,,3128,http,N/A,5000,2022-03-18T19:11:39.345Z
95.158.44.63,transparent,AS35362,UA,,183,,8080,http,N/A,539,2022-03-18T19:11:30.879Z
202.69.38.82,transparent,AS23750,PK,,276,,8080,http,N/A,5002,2022-03-18T19:11:26.747Z
222.129.34.158,elite,AS4808,CN,,174,,57114,http,N/A,5001,2022-03-18T19:11:22.219Z
85.26.146.169,elite,AS25159,RU,,193,,80,http,N/A,760,2022-03-18T19:11:16.442Z
50.206.25.111,elite,AS7922,US,,N/A,,80,http,N/A,268,2022-03-18T19:11:14.614Z
103.213.116.10,transparent,AS38750,ID,,181,,8080,http,N/A,1050,2022-03-18T19:11:08.681Z
